M,T,W,TR,F
202.6,241.9,263.4,277,287.2
202.7,241.7,263.4,277.1,287.2
202.9,241.6,263.3,277.1,287.3
203.2,241.5,263.5,277,287.3
203.5,241.6,263.4,277.1,287.2
203.7,241.5,263.4,277.2,287.1
203.9,241.8,263.4,277.3,287.1
204.4,241.8,263.5,277.1,287.3
204.3,242.1,263.5,277.1,287.4
204.4,242.1,263.5,277.3,287.1
204.7,242.1,263.6,277.1,287.1
204.9,242.1,263.7,277.1,287.2
204.8,241.9,263.6,277.3,287.1
205.1,241.6,263.6,277.3,287.2
205.1,241.8,263.6,277.1,287.1
205.9,241.8,263.6,277.1,287.3
206.2,242.1,263.5,277.2,287.1
206.5,242,263.4,277.2,287.1
207.1,242.1,263.6,277.3,287.2
207.1,242.1,263.6,277.2,287.1
207.1,241.8,263.6,277.4,287.2
207,241.9,263.6,277.5,287.2
207,241.9,263.6,277.4,287.2
207.3,241.8,263.8,277.3,287.3
207.4,241.9,263.8,277.3,287.3
207.7,241.9,263.7,277.3,287.3
207.9,242.3,263.6,277.3,287.3
208.2,242.4,263.7,277.3,287.1
208.5,242.5,263.6,277.4,287.2
208.9,242.3,263.9,277.3,287.1
209.1,242.3,263.9,277.3,287.1
209.2,242.2,264,277.6,287.1
209.2,241.9,263.9,277.6,287.1
209.4,242.2,263.9,277.4,287.2
209.2,242.4,263.9,277.6,287.1
209.4,242.4,263.9,277.6,287
209.4,242.6,264,277.6,287.3
209.5,242.8,264,277.5,287.2
209.7,242.8,264.1,277.6,287.1
209.9,242.6,264.1,277.6,287.2
210.1,242.6,264,277.5,287.1
210.4,242.5,264,277.7,287.3
210.7,242.2,263.9,277.4,287.1
210.9,242.6,264.3,277.4,287.3
211.1,242.7,264,277.6,287.1
211.1,242.8,264.1,277.6,287.2
211.7,243.1,264.3,277.8,287.1
212.4,243.1,264.2,277.7,287.4
211.5,243,264.2,277.6,287.4
211.4,242.7,264.1,277.8,287.5
211.8,242.4,264.2,277.4,287.6
211.9,242.8,264.3,277.6,287.4
212.2,242.8,264.1,277.7,287.3
212.4,242.9,264.1,277.6,287.4
212.7,243.1,264.1,277.6,287.6
212.9,243.2,264.3,277.6,287.6
213.1,243.4,264.3,277.7,287.4
213.4,243.4,264.2,277.8,287.3
213.2,243.1,264.2,277.8,287.6
213.2,243.2,264.2,277.7,287.5
213.4,243.1,264.2,277.8,287.4
213.5,243.2,264.3,277.7,287.6
213.4,243.6,264.1,277.7,287.4
213.9,243.6,264.4,277.7,287.5
214.1,243.4,264.4,277.8,287.6
214.4,243.6,264.4,277.8,287.5
215.8,243.6,264.4,277.9,287.3
214.5,243.4,264.4,278,287.5
215.1,243.5,264.5,278,287.4
214.8,243.4,264.4,278.1,287.5
215.2,243.4,264.6,277.9,287.6
215.1,243.6,264.6,277.9,287.6
215,243.7,264.8,277.9,287.5
214.7,243.8,264.5,278,287.6
215.1,243.9,264.6,277.9,287.4
215.2,243.7,264.6,277.9,287.6
215.6,243.7,264.5,278.1,287.6
215.6,243.6,264.6,277.8,287.6
